,Player_name,Player_ID,Season_start,Season_end
310,Anthony Bennett,bennean01,2014,2017
311,Elmer Bennett,benneel01,1995,1997
312,Mario Bennett,bennema01,1996,2000
313,Mel Bennett,benneme01,1976,1982
314,Spider Bennett,bennesp01,1969,1969
315,Tony Bennett,benneto01,1993,1995
316,Winston Bennett,bennewi01,1990,1992
317,David Benoit,benoida01,1992,2001
318,Keith Benson,bensoke02,2012,2012
319,Kent Benson,bensoke01,1978,1988
320,Ben Bentil,bentibe01,2017,2017
321,Gene Berce,bercege01,1950,1950
322,Gary Bergen,bergega01,1957,1957
323,Larry Bergh,berghla01,1970,1970
324,Ricky Berry,berryri01,1989,1989
325,Walter Berry,berrywa01,1987,1989
326,Dairis Bertāns,bertada02,2019,2019
327,Dāvis Bertāns,bertada01,2017,2021
328,Del Beshore,beshode01,1979,1980
329,Travis Best,besttr01,1996,2005
330,Patrick Beverley,beverpa01,2013,2021
331,Saddiq Bey,beysa01,2021,2021
332,Tyler Bey,beyty01,2021,2021
333,Sim Bhullar,bhullsi01,2015,2015
334,Wesley Bialosuknia,bialowe01,1968,1968
335,Al Bianchi,biancal01,1957,1966
336,Hank Biasatti,biasaha01,1947,1947
337,Henry Bibby,bibbyhe01,1973,1981
338,Mike Bibby,bibbymi01,1999,2012
339,Ed Biedenbach,biedeed01,1969,1969
340,Andris Biedriņš,biedran01,2005,2014
341,Don Bielke,bielkdo01,1956,1956
342,Bob Bigelow,bigelbo01,1976,1979
343,Lionel Billingy,billili01,1975,1975
344,Chauncey Billups,billuch01,1998,2014
345,Dave Bing,bingda01,1967,1978
346,Joe Binion,biniojo01,1987,1987
347,Khem Birch,birchkh01,2018,2021
348,Jabari Bird,birdja01,2018,2018
349,Jerry Bird,birdje01,1959,1959
350,Larry Bird,birdla01,1980,1992
351,Otis Birdsong,birdsot01,1978,1989
352,Gale Bishop,bishoga01,1949,1949
353,Goga Bitadze,bitadgo01,2020,2021
354,Bismack Biyombo,biyombi01,2012,2021
355,Nemanja Bjelica,bjeline01,2016,2021
356,Uwe Blab,blabuw01,1986,1990
